index,profit,number of trade,Average Gain,SD,Maximum Gain in One Trade,Maximum Loss in One Trade
"(46, 135)",7586.289062,9,842.9210069,1380.547557,2101.449219,-2292.640625
"(52, 217)",6742.351562,8,842.7939452,975.255945,1855.970703,-995.189454
"(52, 218)",6742.351562,8,842.7939452,975.255945,1855.970703,-995.189454
"(36, 188)",7584.90625,9,842.7673611,1317.757754,2426.308594,-2271.611328
"(36, 184)",7582.496095,9,842.4995661,1352.119044,2426.308594,-2393.621093
"(36, 185)",7582.496095,9,842.4995661,1352.119044,2426.308594,-2393.621093
"(36, 186)",7582.496095,9,842.4995661,1352.119044,2426.308594,-2393.621093
"(56, 126)",7581.474609,9,842.3860677,1420.659897,2962.61914,-2255.791016
"(57, 124)",7581.474609,9,842.3860677,1420.659897,2962.61914,-2255.791016
"(54, 220)",6738.072266,8,842.2590332,989.9801142,1938.380859,-1298.910156
"(32, 212)",6737.982422,8,842.2478027,1418.970816,2427.390625,-2299.910156
"(33, 208)",6737.982422,8,842.2478027,1418.970816,2427.390625,-2299.910156
"(33, 209)",6737.982422,8,842.2478027,1418.970816,2427.390625,-2299.910156
"(52, 230)",6733.191407,8,841.6489259,965.0491814,2053.380859,-1298.910156
"(33, 200)",7573.572265,9,841.5080294,1380.289842,2480.849609,-2471.791015
"(56, 213)",6731.251954,8,841.4064942,941.0242423,1938.380859,-1298.910156
"(56, 214)",6731.251954,8,841.4064942,941.0242423,1938.380859,-1298.910156
"(57, 210)",6731.251954,8,841.4064942,941.0242423,1938.380859,-1298.910156
"(32, 207)",7572.531249,9,841.392361,1348.038205,2480.849609,-2271.611328
"(32, 194)",7567.550781,9,840.8389757,1360.776042,2480.849609,-2332.18164
"(24, 247)",9243.43164,11,840.3119673,1213.345014,2398.490234,-2500.089843
"(24, 248)",9243.43164,11,840.3119673,1213.345014,2398.490234,-2500.089843
"(34, 199)",7562.671874,9,840.2968749,1348.73724,2462.888672,-2271.611328
"(34, 200)",7562.671874,9,840.2968749,1348.73724,2462.888672,-2271.611328
"(46, 245)",7561.779296,9,840.1976996,866.3892136,2053.380859,-650.900391
"(33, 196)",7560.958985,9,840.1065539,1377.753501,2462.888672,-2471.791015
"(34, 193)",7560.958985,9,840.1065539,1377.753501,2462.888672,-2471.791015
"(34, 194)",7560.958985,9,840.1065539,1377.753501,2462.888672,-2471.791015
"(35, 190)",7560.958985,9,840.1065539,1377.753501,2462.888672,-2471.791015
"(49, 231)",6720.460937,8,840.0576171,996.9100949,1970.970703,-995.189454
